,franchise_id,season,weighted_efficiency
463,LAC,1987,23.91596814
464,LAC,1988,22.11388542
465,LAC,1989,21.46070602
466,LAC,1990,22.76016447
467,LAC,1991,25.77846726
468,LAC,1992,22.70641667
469,LAC,1993,23.03858974
470,LAC,1994,24.3823652
471,LAC,1995,20.33210938
472,LAC,1996,24.94905449
473,LAC,1997,21.57731944
474,LAC,1998,25.66400298
475,LAC,1999,20.71596354
476,LAC,2000,23.77969444
477,LAC,2001,21.93966667
478,LAC,2002,21.24283854
479,LAC,2003,25.32301389
480,LAC,2004,23.24254167
481,LAC,2005,23.63270833
482,LAC,2006,21.29967593
483,LAC,2007,20.44457108
484,LAC,2008,23.16366898
485,LAC,2009,23.90176535
486,LAC,2010,22.82393519
487,LAC,2011,23.8228799
488,LAC,2012,21.76058824
489,LAC,2013,23.71235119
490,LAC,2014,21.17748904
491,LAC,2015,23.09447917
492,LAC,2016,23.48359375
493,LAC,2017,25.98304487
494,LAC,2018,26.31617708
495,LAC,2019,22.26311508
496,LAC,2020,22.88668981
497,LAL,1977,20.90080556
498,LAL,1978,25.68464844
499,LAL,1979,26.44980903
500,LAL,1980,24.3968006
501,LAL,1981,24.93528846
502,LAL,1982,24.7849256
503,LAL,1983,21.70967448
504,LAL,1984,24.85232143
505,LAL,1985,25.32150641
506,LAL,1986,24.91540179
507,LAL,1987,25.63921474
508,LAL,1988,26.53442308
509,LAL,1989,28.21799242
510,LAL,1990,25.89899306
511,LAL,1991,27.1111553
512,LAL,1992,23.47107143
513,LAL,1993,25.08150641
514,LAL,1994,22.74397135
515,LAL,1995,23.99925
516,LAL,1996,27.23227431
517,LAL,1997,25.40340278
518,LAL,1998,26.86001736
519,LAL,1999,22.77915441
520,LAL,2000,20.84459722
521,LAL,2001,23.43113889
522,LAL,2002,22.79862179
523,LAL,2003,21.5319494
524,LAL,2004,22.49904948
525,LAL,2005,21.56997396
526,LAL,2006,21.08716667
527,LAL,2007,26.14122024
528,LAL,2008,23.63853009
529,LAL,2009,22.36265278
530,LAL,2010,23.76076923
531,LAL,2011,23.08133929
532,LAL,2012,22.83770833
533,LAL,2013,24.77968056
534,LAL,2014,25.42721491
535,LAL,2015,24.74954861
536,LAL,2016,22.46651389
537,LAL,2017,22.28824074
538,LAL,2018,22.49375
539,LAL,2019,23.87973958
540,LAL,2020,24.37441964
541,MEM,1996,23.38083333
542,MEM,1997,21.40121094
543,MEM,1998,22.99438802
544,MEM,1999,19.86335648
545,MEM,2000,21.89906944
546,MEM,2001,22.142875
547,MEM,2002,23.61221814
548,MEM,2003,21.9921201
549,MEM,2004,20.31145833
550,MEM,2005,24.30809524
551,MEM,2006,22.83101563
552,MEM,2007,24.86393229
553,MEM,2008,21.60527412
554,MEM,2009,22.14654762
555,MEM,2010,22.20661458
556,MEM,2011,20.1205787
557,MEM,2012,20.26311198
558,MEM,2013,20.5852193
559,MEM,2014,22.31757353
560,MEM,2015,20.31518519
561,MEM,2016,22.71335069
562,MEM,2017,22.5763848
563,MEM,2018,23.98358696
564,MEM,2019,23.2140997
565,MEM,2020,21.75879167
566,MIA,1989,20.8296201
567,MIA,1990,22.10052885
568,MIA,1991,22.08827381
569,MIA,1992,25.37354167
570,MIA,1993,27.45533654
571,MIA,1994,24.08266026
572,MIA,1995,26.79322222
573,MIA,1996,24.39952652
574,MIA,1997,28.45217262
575,MIA,1998,23.75191406
576,MIA,1999,22.37106618
577,MIA,2000,22.23041667
578,MIA,2001,22.10174479
579,MIA,2002,20.67757353
